Commune;nb établissements commerciaux
Assens;70
Belmont-sur-Lausanne;250
Bourg-en-Lavaux;310
Bremblens;35
Bussigny;600
Chavannes-près-Renens;480
Cheseaux-sur-Lausanne;280
Crissier;550
Cugy (VD);180
Denges;140
Echandens;220
Ecublens (VD);460
Epalinges;750
Etagnières;110
Forel (Lavaux);130
Lausanne;8500
Le Mont-sur-Lausanne;850
Lonay;250
Lutry;600
Morges;1600
Préverenges;230
Prilly;650
Pully;1100
Renens (VD);950
Saint-Barthélemy (VD);40
Sainte-Croix;350
Saint-Sulpice (VD);300
Savigny;320
Villars-Sainte-Croix;80
Vaulion;450
