Commune; Adopté en; Valable jusqu'en;Impôt rentrée argent; Impôt spécial affecté; Pour-cent total; Immeubles; Constr. non immatric. registre foncier; Impôt personnel fixe; Ventes, cessions, etc.; Ligne directe ascendante; Ligne directe descendante; Ligne collatérale; Entre non-parents; Impôt compl. s/immeubles soc. et fond.; * Chiens; * Impôt sur les divertissements
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
DISTRICT D'AIGLE;;;;;;;;;;;;;;;;
Aigle;2021;2026;66; - ;66;1.2;0.5;-;50;50;50;100;100;50;100;5
Bex;2024;2026;71; - ;71;1.25;0.5; - ;50;50;50;100;100;50;100; -   
Chessel;2025;2026;65; - ;65;1;0.5; - ;50;-;-;50;100;50;100; -   
Corbeyrier;2025;2026;74; - ;74;1.5;0.5;-;50;50;50;100;100;50;100;5
Gryon;2025;2026;73.5; - ;73.5;1.5;0.5;-;50;-;-;50;100;50;100; -   
Lavey-Morcles;2025;2026;71.5; - ;71.5;1.3;0.5;-;50;50;50;100;100;50;100;75 cts
Leysin;2025;2026;78; - ;78;1.5;0.5;-;50;50;-;100;100;50;100;15
Noville;2025;2026;75; - ;75;1.5;0.5;-;50;-;-;50;100;50;100; -   
Ollon;2025;2026;68; - ;68;1.3;0.5;-;50;-;-;100;100;50;100; -   
Ormont-Dessous;2024;2026;74.9;2.1;77;1.5;0.5;-;50;50;50;100;100;50;100; -   
Ormont-Dessus;2025;2026;73;3;76;1.5;0.5;-;50;50;-;100;100;50;100; -   
Rennaz;2025;2027;64; -   ;64;1;0.5; - ;50;50; - ;50;100;50;100;10
Roche;2025;2026;66.5; - ;66.5;1.2;0.5;-;50;50;50;100;100;50;150; -   
Villeneuve;2025;2026;66.5; - ;66.5;1;0.5;-;50;50;-;100;100;50;115; -   
Yvorne;2025;2026;71.5; - ;71.5;1.5;0.5;-;50;50;50;100;100;50;100; -   
;;;;;;;;;;;;;;;;
DISTRICT DE LA BROYE-VULLY;;;;;;;;;;;;;;;;
Avenches;2025;2026;65; - ;65;0.75;0.5;-;50;100;-;100;100;50;100; -   
Bussy-sur-Moudon;2025;2026;78.5; -   ;78.5;1;0.5;10;50;50;50;100;100;50;60;10
Champtauroz;2025;2026;77; -   ;77;0.8;0.5; - ;50; - ; - ;100;100;50;40; -   
Chavannes-sur-Moudon;2025;2026;70; -   ;70;1; -   ; - ;50; - ; - ; - ; - ;50;60; -   
Chevroux;2025;2026;68.5; - ;68.5;1.2;0.5;-;50;50;50;100;100;-;1.0p/Fr;10
Corcelles-le-Jorat;2025;2027;75; - ;75;1;0.5;-;50;40;20;100;100;50;40;10
Corcelles-près-Payerne;2025;2026;65; - ;65;0.7; - ;-;50;50;50;100;100;50;60;10
Cudrefin;2025;2026;59; - ;59;1.5;0.5;-;50;100;100;100;100;50;100;10
Curtilles;2025;2026;71; -   ;71;0.5;0.5; - ;50; - ; - ;60;100;50; 1.0p/Fr ; -   
Dompierre;2024;2026;78; - ;78;1;0.5;10;50;50;-;-;100;50;90; -   
Faoug;2025;2026;65; - ;65;1.5;0.5;-;50;80;80;100;100;50;1.0p/Fr; -   
