Commune;Total logements vacants;;;;;;;Logements vacants à vendre;;;;;;;Maisons individuelles vacantes;;;;;;;Logements vacants récents;;;;;;;#VALEUR!
Aclens;8;1;1;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;1;1;2;-;-;
Agiez;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Aigle;43;3;14;17;8;1;-;3;-;-;-;3;-;-;5;-;-;2;2;1;-;-;-;-;-;-;-;-;
Aigle (district);457;41;74;126;97;46;73;235;7;25;50;56;29;68;123;-;2;14;21;21;65;19;1;2;6;4;3;3;
Allaman;2;-;-;2;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Arnex-sur-Nyon;2;-;-;2;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Arnex-sur-Orbe;2;-;-;-;1;1;-;1;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;
Arzier-Le Muids;2;-;-;-;-;1;1;1;-;-;-;-;-;1;2;-;-;-;-;1;1;-;-;-;-;-;-;-;
Assens;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Aubonne;29;-;1;3;10;6;9;15;-;-;1;2;4;8;10;-;-;-;3;2;5;-;-;-;-;-;-;-;
Avenches;4;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Ballaigues;19;5;4;6;2;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;1;-;-;-;
Ballens;2;-;1;-;-;-;1;1;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;
Bassins;9;-;-;3;-;6;-;5;-;-;-;-;5;-;6;-;-;-;-;6;-;-;-;-;-;-;-;-;
Baulmes;16;-;3;3;5;2;3;8;-;2;2;-;1;3;4;-;-;-;-;1;3;-;-;-;-;-;-;-;
Bavois;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Begnins;12;-;2;2;3;-;5;5;-;-;1;-;-;4;1;-;-;-;-;-;1;-;-;-;-;-;-;-;
Belmont-sur-Lausanne;5;1;1;-;3;-;-;3;1;-;-;2;-;-;2;-;-;-;2;-;-;-;-;-;-;-;-;-;
Belmont-sur-Yverdon;5;1;-;1;2;1;-;4;-;-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Bercher;7;1;-;1;1;-;4;5;-;-;1;1;-;3;4;-;-;-;-;-;4;-;-;-;-;-;-;-;
Berolle;2;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;
Bettens;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Bex;36;7;4;13;8;1;3;16;2;3;5;4;-;2;5;-;-;1;2;-;2;-;-;-;-;-;-;-;
Bière;14;1;3;3;5;2;-;3;-;1;-;1;1;-;2;-;-;-;1;1;-;-;-;-;-;-;-;-;
Bioley-Magnoux;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
"Blonay -
Saint-Légier";13;-;1;-;4;2;6;6;-;-;-;1;1;4;7;-;-;-;-;1;6;-;-;-;-;-;-;-;
Bofflens;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
