A;Communes
5621;Aclens
5742;Agiez
5401;Aigle
5851;Allaman
5701;Arnex-sur-Nyon
5743;Arnex-sur-Orbe
5702;Arzier
5511;Assens
5422;Aubonne
5451;Avenches
5744;Ballaigues
5423;Ballens
5703;Bassins
5745;Baulmes
5746;Bavois
5704;Begnins
5581;Belmont-sur-Lausanne
5902;Belmont-sur-Yverdon
5512;Bercher
5424;Berolle
5471;Bettens
5402;Bex
5425;Bière
5903;Bioley-Magnoux
5892;Blonay - Saint-Légier
5747;Bofflens
5705;Bogis-Bossey
5551;Bonvillars
5706;Borex
5514;Bottens
5426;Bougy-Villars
5661;Boulens
5613;Bourg-en-Lavaux
5472;Bournens
5473;Boussens
5622;Bremblens
5515;Bretigny-sur-Morrens
5748;Bretonnières
5623;Buchillon
5552;Bullet
5852;Bursinel
5853;Bursins
5854;Burtigny
5624;Bussigny
5663;Bussy-sur-Moudon
5904;Chamblon
5553;Champagne
5812;Champtauroz
5905;Champvent
5882;Chardonne
5841;Château-d'Oex
5707;Chavannes-de-Bogis
5708;Chavannes-des-Bois
5907;Chavannes-le-Chêne
5475;Chavannes-le-Veyron
5627;Chavannes-près-Renens
5665;Chavannes-sur-Moudon
5749;Chavornay (nouvelle commune)
5908;Chêne-Pâquier
5909;Cheseaux-Noréaz
5582;Cheseaux-sur-Lausanne
5709;Chéserex
5403;Chessel
5476;Chevilly
5813;Chevroux
5601;Chexbres
5628;Chigny
5629;Clarmont
5710;Coinsins
5711;Commugny
5554;Concise
5712;Coppet
5404;Corbeyrier
5785;Corcelles-le-Jorat
5555;Corcelles-près-Concise
5816;Corcelles-près-Payerne
5883;Corseaux
5884;Corsier-sur-Vevey
5477;Cossonay
5713;Crans-près-Céligny
5714;Crassier
5583;Crissier
5910;Cronay
5752;Croy
5479;Cuarnens
5911;Cuarny
5456;Cudrefin
5516;Cugy
5669;Curtilles
5480;Daillens
5912;Démoret
5631;Denens
5632;Denges
5481;Dizy
5671;Dompierre
5913;Donneloye
5715;Duillier
5855;Dully
5518;Echallens
5633;Echandens
5634;Echichens
5482;Eclépens
5635;Ecublens
5584;Epalinges
5914;Ependes
5856;Essertines-sur-Rolle
5520;Essertines-sur-Yverdon
5521;Etagnières
5636;Etoy
5716;Eysins
5458;Faoug
5427;Féchy
5483;Ferreyres
5522;Fey
5556;Fiez
5557;Fontaines-sur-Grandson
5604;Forel (Lavaux)
5717;Founex
5523;Froideville
5718;Genolier
5559;Giez
5857;Gilly
5428;Gimel
5719;Gingins
5720;Givrins
5721;Gland
5484;Gollion
5541;Goumoëns
5485;Grancy
5817;Grandcour
5560;Grandevent
5561;Grandson
5722;Grens
5405;Gryon
5656;Hautemorges
5819;Henniez
5673;Hermenches
5885;Jongny
5804;Jorat-Menthue
5806;Jorat-Mézières
5585;Jouxtens-Mézery
5754;Juriens
5474;La Chaux (Cossonay)
5758;La Praz
5726;La Rippe
5498;La Sarraz
5889;La Tour-de-Peilz
5871;L'Abbaye
5741;L'Abergement
5586;Lausanne
5406;Lavey-Morcles
5637;Lavigny
5872;Le Chenit
5873;Le Lieu
5587;Le Mont-sur-Lausanne
5731;Le Vaud
5750;Les Clées
5407;Leysin
5755;Lignerolle
5486;L'Isle
5638;Lonay
5429;Longirod
5674;Lovatens
5675;Lucens (nouvelle commune)
5858;Luins
5639;Lully
5487;Lussery-Villars
5640;Lussy-sur-Morges
5606;Lutry
5790;Maracon
5430;Marchissy
5919;Mathod
5562;Mauborget
5488;Mauraz
5489;Mex
5723;Mies
5821;Missy
5490;Moiry
5431;Mollens
5921;Molondin
5922;Montagny-près-Yverdon
5693;Montanaire
5756;Montcherand
5540;Montilliez
5491;Mont-la-Ville
5792;Montpreveyres
5886;Montreux
5492;Montricher
5859;Mont-sur-Rolle
5642;Morges
5527;Morrens
5678;Moudon
5563;Mutrux
5564;Novalles
5408;Noville
5724;Nyon
5680;Ogens
5409;Ollon
5565;Onnens
5923;Oppens
5757;Orbe
5924;Orges
5410;Ormont-Dessous
5411;Ormont-Dessus
5493;Orny
5805;Oron
5925;Orzens
5529;Oulens-sous-Echallens
5530;Pailly
5588;Paudex
5822;Payerne
5495;Penthalaz
5496;Penthaz
5531;Penthéréaz
5860;Perroy
5533;Poliez-Pittet
5497;Pompaples
5926;Pomy
5725;Prangins
5759;Premier
5643;Préverenges
5683;Prévonloup
5589;Prilly
5566;Provence
5607;Puidoux
5590;Pully
5760;Rances
5591;Renens
5412;Rennaz
5609;Rivaz
5413;Roche
5861;Rolle
5761;Romainmôtier-Envy
5592;Romanel-sur-Lausanne
5645;Romanel-sur-Morges
5798;Ropraz
5684;Rossenges
5842;Rossinière
5843;Rougemont
5928;Rovray
5534;Rueyres
5535;Saint-Barthélemy
5727;Saint-Cergue
5568;Sainte-Croix
5434;Saint-George
5435;Saint-Livres
5436;Saint-Oyens
5646;Saint-Prex
5610;Saint-Saphorin (Lavaux)
5648;Saint-Sulpice
5437;Saubraz
5611;Savigny
5499;Senarclens
5762;Sergey
5799;Servion
5728;Signy-Avenex
5929;Suchy
5501;Sullens
5930;Suscévaz
5688;Syens
5729;Tannay
5862;Tartegnin
5571;Tévenon
5649;Tolochenaz
5730;Trélex
5827;Trey
5931;Treycovagnes
5828;Treytorrens (Payerne)
5932;Ursins
5831;Valbroye
5933;Valeyres-sous-Montagny
5763;Valeyres-sous-Rances
5934;Valeyres-sous-Ursins
5764;Vallorbe
5765;Vaulion
5650;Vaux-sur-Morges
5890;Vevey
5891;Veytaux
5732;Vich
5935;Villars-Epeney
5690;Villars-le-Comte
5537;Villars-le-Terroir
5651;Villars-Sainte-Croix
5652;Villars-sous-Yens
5830;Villarzel
5414;Villeneuve
5863;Vinzel
5539;Vuarrens
5692;Vucherens
5503;Vufflens-la-Ville
5653;Vufflens-le-Château
5937;Vugelles-La Mothe
5766;Vuiteboeuf
5803;Vulliens
5654;Vullierens
5464;Vully-les-lacs
5655;Yens
5938;Yverdon-les-Bains
5939;Yvonand
5415;Yvorne
