Commune;Places de jeux;Terrains de sport / Centres;Total places
Assens;1;1;2
Belmont-sur-Lausanne;2;2;4
Bourg-en-Lavaux;3;3;6
Bremblens;1;1;2
Bussigny;6;7;13
Chavannes-près-Renens;5;4;9
Cheseaux-sur-Lausanne;4;3;7
Crissier;6;9;15
Cugy (VD);2;2;4
Denges;2;2;4
Echandens;2;3;5
Ecublens (VD);7;11;18
Epalinges;7;5;12
Etagnières;2;1;3
Forel (Lavaux);1;2;3
Lausanne;85;45;130
Le Mont-sur-Lausanne;13;7;20
Lonay;3;2;5
Lutry;6;5;11
Morges;18;12;30
Préverenges;3;3;6
Prilly;8;6;14
Pully;10;8;18
Renens (VD);12;10;22
Saint-Barthélemy (VD);1;1;2
Sainte-Croix;4;5;9
Saint-Sulpice (VD);5;4;9
Savigny;4;4;8
Villars-Sainte-Croix;1;1;2
Vaulion;2;3;5
