a;Commune;Population suisse;Population étrangère;Total
5401;Aigle;6 807;5 274;12 081
5402;Bex;5 735;3 188;8 923
5403;Chessel;387;138;525
5404;Corbeyrier;408;48;456
5405;Gryon;1 037;509;1 546
5406;Lavey-Morcles;807;217;1 024
5407;Leysin;1 831;1 891;3 722
5408;Noville;929;285;1 214
5409;Ollon;5 272;3 030;8 302
5410;Ormont-Dessous;1 005;256;1 261
5411;Ormont-Dessus;1 085;355;1 440
5412;Rennaz;619;316;935
5413;Roche;1 323;712;2 035
5414;Villeneuve;3 474;2 599;6 073
5415;Yvorne;861;258;1 119
5451;Avenches;2 922;2 031;4 953
5663;Bussy-sur-Moudon;222;45;267
5812;Champtauroz;165;19;184
5665;Chavannes-sur-Moudon;213;19;232
5813;Chevroux;431;56;487
5785;Corcelles-le-Jorat;400;95;495
5816;Corcelles-près-Payerne;2 026;1 103;3 129
5456;Cudrefin;1 592;323;1 915
5669;Curtilles;258;44;302
5671;Dompierre;207;35;242
5458;Faoug;684;218;902
5817;Grandcour;792;178;970
5819;Henniez;358;106;464
5673;Hermenches;314;50;364
5674;Lovatens;143;9;152
5675;Lucens;2 854;2 038;4 892
5821;Missy;310;69;379
5678;Moudon;3 692;3 155;6 847
5822;Payerne;5 995;4 977;10 972
5683;Prévonloup;217;32;249
5798;Ropraz;415;120;535
5684;Rossenges;67;15;82
5688;Syens;108;36;144
5827;Trey;260;45;305
5828;Treytorrens;98;10;108
5831;Valbroye;2 602;814;3 416
5690;Villars-le-Comte;117;12;129
5830;Villarzel;421;101;522
5692;Vucherens;525;109;634
5803;Vulliens;550;80;630
5464;Vully-les-Lacs;2 995;703;3 698
5511;Assens;1 452;295;1 747
5512;Bercher;1 118;241;1 359
5471;Bettens;523;129;652
5514;Bottens;1 123;266;1 389
5661;Boulens;338;33;371
5472;Bournens;475;137;612
5473;Boussens;853;163;1 016
5515;Bretigny-sur-Morrens;717;176;893
5516;Cugy (VD);2 144;680;2 824
5480;Daillens;917;196;1 113
5518;Echallens;5 119;1 697;6 816
5520;Essertines-sur-Yverdon;981;202;1 183
5521;Etagnières;921;247;1 168
5522;Fey;693;98;791
5523;Froideville;2 215;498;2 713
5541;Goumoëns;1 079;172;1 251
5804;Jorat-Menthue;1 296;268;1 564
5487;Lussery-Villars;391;78;469
5489;Mex;610;218;828
5693;Montanaire;2 495;361;2 856
5540;Montilliez;1 608;248;1 856
5527;Morrens;954;191;1 145
5680;Ogens;303;39;342
5923;Oppens;155;46;201
5529;Oulens-sous-Echallens;520;89;609
5530;Pailly;509;66;575
5495;Penthalaz;2 287;912;3 199
5496;Penthaz;1 435;475;1 910
5531;Penthéréaz;412;34;446
5533;Poliez-Pittet;693;154;847
5534;Rueyres;260;42;302
5535;Saint-Barthélemy (VD);719;119;838
5501;Sullens;1 007;275;1 282
5537;Villars-le-Terroir;1 136;198;1 334
5539;Vuarrens;943;170;1 113
5503;Vufflens-la-Ville;1 084;243;1 327
5871;L'Abbaye;1 306;293;1 599
5741;L'Abergement;246;21;267
5742;Agiez;314;68;382
5743;Arnex-sur-Orbe;594;104;698
5744;Ballaigues;890;327;1 217
5745;Baulmes;959;230;1 189
5746;Bavois;865;190;1 055
5902;Belmont-sur-Yverdon;407;50;457
5903;Bioley-Magnoux;238;14;252
5747;Bofflens;196;5;201
5551;Bonvillars;475;42;517
5748;Bretonnières;252;13;265
5552;Bullet;626;61;687
5904;Chamblon;480;78;558
5553;Champagne;913;174;1 087
5905;Champvent;581;111;692
5907;Chavannes-le-Chêne;289;40;329
5749;Chavornay;3 925;1 449;5 374
5908;Chêne-Pâquier;153;19;172
