Commune;Appart. Prix bas;Appart. Prix haut;Maison prix bas;Maison prix haut
Assens;800000;1000000;1400000;1500000
Belmont-sur-Lausanne;1200000;1300000;1700000;1800000
Bourg-en-Lavaux;1400000;1500000;2100000;2200000
Bremblens;1100000;1200000;1600000;1700000
Bussigny;1200000;1300000;1600000;1700000
Chavannes-près-Renens;1300000;1400000;1500000;1600000
Cheseaux-sur-Lausanne;1100000;1200000;1500000;1600000
Crissier;1200000;1300000;1600000;1700000
Cugy (VD);900000;1000000;1500000;1600000
Denges;1300000;1400000;1900000;2000000
Echandens;1400000;1500000;1900000;2000000
Ecublens (VD);1200000;1300000;2100000;2200000
Epalinges;1300000;1400000;1800000;1900000
Etagnières;900000;1000000;1500000;1600000
Forel (Lavaux);800000;900000;1300000;1400000
Lausanne;1500000;1600000;2500000;2600000
Le Mont-sur-Lausanne;1300000;1400000;1700000;1800000
Lonay;1300000;1400000;1800000;1900000
Lutry;1500000;1600000;2300000;2500000
Morges;1400000;1500000;2000000;2100000
Préverenges;1300000;1400000;2300000;2400000
Prilly;1300000;1400000;1600000;1700000
Pully;1600000;1800000;2200000;2300000
Renens (VD);1200000;1300000;1800000;1900000
Saint-Barthélemy (VD);600000;800000;1200000;1300000
Sainte-Croix;400000;500000;800000;900000
Saint-Sulpice (VD);1400000;1500000;2700000;2800000
Savigny;900000;1000000;1500000;1600000
Villars-Sainte-Croix;1300000;1400000;1800000;1900000
Vaulion;300000;400000;600000;700000
