Commune;Indice (IQA);Qualité
Assens;25;Bonne
Belmont-sur-Lausanne;40;Bonne
Bourg-en-Lavaux;35;Bonne
Bremblens;25;Excellente
Bussigny;35;Bonne
Chavannes-près-Renens;35;Bonne
Cheseaux-sur-Lausanne;20;Bonne
Crissier;35;Bonne
Cugy (VD);30;Excellente
Denges;29;Excellente
Echandens;30;Excellente
Ecublens (VD);35;Bonne
Epalinges;30;Excellente
Etagnières;22;Bonne
Forel (Lavaux);30;Excellente
Lausanne;36;Bonne
Le Mont-sur-Lausanne;30;Excellente
Lonay;38;Bonne
Lutry;38;Bonne
Morges;38;Bonne
Préverenges;38;Bonne
Prilly;36;Bonne
Pully;36;Bonne
Renens (VD);36;Bonne
Saint-Barthélemy (VD);25;Bonne
Sainte-Croix;23;Excellente
Saint-Sulpice (VD);28;Excellente
Savigny;32;Excellente
Villars-Sainte-Croix;32;Bone
Vaulion;22;Excellente
