Code DiDok;Désignation officielle;Désignation organisation commerciale;Moyen de transport;Canton;Commune;Numero Commune;Localité;Swiss Business Organisation ID;Commentaire OFT;Coordonnées E MN95;Coordonnées N MN95;Altitude;Lien sur la carte
8583891;Vufflens-Aclens, zone industr.;Automobiles MBC;BUS;VD;Aclens;5621;Aclens;ch:1:sboid:100566;;2529929.719;1157463.978;406;46.56477268818526, 6.524742392767344
8570093;Aclens, collège;Automobiles MBC;BUS;VD;Aclens;5621;Aclens;ch:1:sboid:100566;;2528825;1157750;450;46.567228572318456, 6.510291141153921
8507650;Agiez, Vers-le-Pont;PostAuto AG;BUS;VD;Agiez;5742;Agiez;ch:1:sboid:100602;;2529106;1174641;507;46.71919129431517, 6.511347735082323
8570235;Agiez, L'Epine;PostAuto AG;BUS;VD;Agiez;5742;Agiez;ch:1:sboid:100602;;2528837;1174270;523;46.71582551025668, 6.507887226046329
8504425;Aigle, Les Iles;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2562250;1127697;386;46.29961661730584, 6.948697073079572
8505193;Aigle, Biole;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2561991;1128843;384;46.309910755987055, 6.945241890286049
8581845;Aigle, collège Planchette;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;(Bus) ohne Fahrplandaten 2016 [beibehalten];2562877;1129904;396;46.31950460015498, 6.956658085456567
8517484;Aigle-Parc Aventure;Transports Publics du Chablais;TRAIN;VD;Aigle;5401;Aigle;ch:1:sboid:100008;;2565151.159;1129423.007;488.1;46.315300001126964, 6.986219994119313
8581047;Aigle, Pautex;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2562697;1129618;393;46.31692190321954, 6.954344102473771
8593763;Aigle, av. Margencel;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2563515;1129751;406;46.318163343780725, 6.964953361332843
8511106;Aigle-Dépôt, gare;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2564331;1129735;428;46.31806335872635, 6.975548588579126
8512177;Aigle, Fontanney;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2565332.576;1129785.534;532.5;46.31857051500889, 6.988548107424288
8593766;Aigle, Dents-du-Midi;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2563046;1129261;396;46.313729866550396, 6.9589034211079
8593765;Aigle, Champex;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2561857;1129051;383;46.31177419397323, 6.943485372920066
8593764;Aigle, ch. des Lieugex;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2563147;1129978;401;46.3201851703714, 6.960157659596822
8517500;Aigle-Place-du-Marché (DIAB);Transports Publics du Chablais;;VD;Aigle;5401;Aigle;ch:1:sboid:100008;(Zug);2563889.627;1129584.956;415.3;46.31668999858064, 6.969829998461089
8501400;Aigle;Schweizerische Bundesbahnen SBB;TRAIN;VD;Aigle;5401;Aigle;ch:1:sboid:100001;;2563416.288;1129606.2;403.908;46.316855418598124, 6.963683211861402
8501468;Aigle-Château;Transports Publics du Chablais;TRAIN;VD;Aigle;5401;Aigle;ch:1:sboid:100008;;2564590;1129601;433;46.31687170607126, 6.97892136108901
8501554;Aigle-Place-du-Marché;Transports Publics du Chablais;TRAIN;VD;Aigle;5401;Aigle;ch:1:sboid:100008;;2563929.275;1129645.86;416.7;46.317239994000715, 6.970339995448264
8509014;Aigle, Pré Neyroud;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2561952;1127942;385;46.3018036496258, 6.944809449285151
8570600;Aigle, gare;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2563487;1129528;406;46.31615583128023, 6.964607382328524
8570601;Aigle, place du Marché;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2563920;1129661;417;46.31737568585273, 6.9702184049401295
8501179;Pont-de-Drapel;Transports Publics du Chablais;TRAIN;VD;Aigle;5401;Aigle;ch:1:sboid:100008;;2565177.197;1129929.778;613.7;46.31985999970431, 6.986520004273106
